PK,TimeStamp,Level,Parent,IsBusiness,Tag,Application,Message,Ticks,DataIn,DataInType,DataOut,DataOutType,TerminalID,TerminalIP,FKUser,ItemID,ItemType,FKExtern,
0,11-01-21 17:23:52,Log,0,True,"MEM","","103009656 bytes currently allocated in managed memory",0,"","","","","","","","","",-1,
0,11-01-21 17:23:54,Info,0,True,"","","SyncDataWithWeb(NC)",0,"","","","","","","","","",-1,
0,11-01-21 17:23:57,Log,0,True,"AuditTrail","","Clean",0,"","","","","","","","","",-1,
0,11-01-21 17:23:58,Log,0,True,"","","SyncDocuments - /Documents/List/11.01.2021 15:46/105 - dwnl 0 items in 0,224349 sec",0,"","","","","","","","","",-1,
0,11-01-21 17:23:58,Log,0,False,"","","Documents 8 
",0,"","","","","","","","","",-1,
0,11-01-21 17:24:19,Log,0,True,"","","SyncInterventions - /Interventions/ListInt/01.01.0001 00:00/105 - dwnl 103 items in 20,364472 sec",0,"","","","","","","","","",-1,
0,11-01-21 17:24:19,Log,0,False,"","","Interventions 103 
",0,"","","","","","","","","",-1,
0,11-01-21 17:24:21,Log,0,True,"","","SyncStores - /Store/List/01.01.0001 00:00 - dwnl 1652 items in 1,627286 sec",0,"","","","","","","","","",-1,
0,11-01-21 17:24:21,Log,0,False,"","","Stores 1652 
",0,"","","","","","","","","",-1,
0,11-01-21 17:24:22,Log,0,True,"","","SyncArticles - /Articles/List/01.01.0001 00:00 - dwnl 875 items in 0,8929 sec",0,"","","","","","","","","",-1,
0,11-01-21 17:24:22,Log,0,False,"","","Articles 875 
",0,"","","","","","","","","",-1,
0,11-01-21 17:24:23,Log,0,True,"","","SyncFamilies - /Familles/List/01.01.0001 00:00 - dwnl 230 items in 0,429935 sec",0,"","","","","","","","","",-1,
0,11-01-21 17:24:26,Log,0,True,"ws","","Save in 2,790393 sec",0,"","","","","","","","","",-1,
0,11-01-21 17:24:26,Log,0,False,"","","Families 230 
",0,"","","","","","","","","",-1,
0,11-01-21 17:24:27,Log,0,False,"","","Save local data ... 
",0,"","","","","","","","","",-1,
0,11-01-21 17:24:27,Log,0,True,"ws","","Sync in 32,768029 sec",0,"","","","","","","","","",-1,
0,11-01-21 17:24:27,Log,0,False,"","","",0,"","","","","","","","","",-1,
